id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,8602,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,6964,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,3208,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,2857,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2584,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2491,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,3983,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,3588,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1925,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1641,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1413,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,1037,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,866,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,618,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1419,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1001,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,3169,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,2160,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1213,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,946,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1102,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,988,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1375,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,940,ORANG,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1789,ORANG,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1453,ORANG,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,1095,ORANG,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,1049,ORANG,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,2935,ORANG,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1908,ORANG,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2445,ORANG,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1711,ORANG,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1124,ORANG,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1001,ORANG,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,183,ORANG,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,135,ORANG,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,2010,ORANG,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,1825,ORANG,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1026,ORANG,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,794,ORANG,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,6013,ORANG,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,5946,ORANG,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,953,ORANG,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,725,ORANG,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,4187,ORANG,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,3530,ORANG,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,2513,ORANG,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,2182,ORANG,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,1311,ORANG,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,1256,ORANG,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,813,ORANG,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,621,ORANG,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,509,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,331,ORANG,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,5682,ORANG,2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,4566,ORANG,2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1854,ORANG,2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1592,ORANG,2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2170,ORANG,2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1998,ORANG,2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,3222,ORANG,2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2894,ORANG,2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1937,ORANG,2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1710,ORANG,2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1017,ORANG,2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,691,ORANG,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,835,ORANG,2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,599,ORANG,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1086,ORANG,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,713,ORANG,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2002,ORANG,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,1401,ORANG,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,998,ORANG,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,760,ORANG,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,705,ORANG,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,599,ORANG,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,897,ORANG,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,599,ORANG,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1686,ORANG,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1375,ORANG,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,956,ORANG,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,780,ORANG,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,2396,ORANG,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1600,ORANG,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2693,ORANG,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1911,ORANG,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,749,ORANG,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,690,ORANG,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,214,ORANG,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,144,ORANG,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,992,ORANG,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,904,ORANG,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,633,ORANG,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,590,ORANG,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,4233,ORANG,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,4029,ORANG,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,706,ORANG,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,496,ORANG,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,2885,ORANG,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,2338,ORANG,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1842,ORANG,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1469,ORANG,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,837,ORANG,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,882,ORANG,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,536,ORANG,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,427,ORANG,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,177,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,143,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,6538,ORANG,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,5408,ORANG,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,2604,ORANG,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,2201,ORANG,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2473,ORANG,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2200,ORANG,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,2931,ORANG,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2777,ORANG,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,2552,ORANG,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,2234,ORANG,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1125,ORANG,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,870,ORANG,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,951,ORANG,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,655,ORANG,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,946,ORANG,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,705,ORANG,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1975,ORANG,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,1408,ORANG,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,953,ORANG,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,770,ORANG,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,731,ORANG,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,641,ORANG,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1042,ORANG,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,659,ORANG,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1646,ORANG,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1266,ORANG,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,1286,ORANG,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,1124,ORANG,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,2705,ORANG,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1823,ORANG,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2805,ORANG,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1993,ORANG,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,904,ORANG,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,832,ORANG,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,239,ORANG,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,171,ORANG,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,788,ORANG,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,2190,ORANG,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,633,ORANG,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,590,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,4367,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,4552,ORANG,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,1085,ORANG,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,825,ORANG,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,3322,ORANG,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,2729,ORANG,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,2121,ORANG,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1921,ORANG,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,851,ORANG,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,931,ORANG,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,802,ORANG,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,674,ORANG,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,169,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,100,ORANG,2021
